state,totalpop,male,female,H,W,B,N,A,P,0-18_ratio,19-25_ratio,26-34_ratio,35-54_ratio,55-64_ratio,65+_ratio
AK,729562,52.244360314819026,47.755639685180974,6.539452301517898,62.25893632069652,3.248988022950757,13.463041112338635,5.79777318445862,1.1644956837115967,0.26363246028338344,0.08472878202375841,0.13181623014169172,0.25790754257907544,0.1248032059539144,0.13711177901817662
AL,4821879,48.46602330751145,51.53397669248855,4.007297922656293,66.3233716565679,26.32274621573872,0.4599229263115064,1.2121065874942112,0.03272599747940585,0.23620633365981064,0.08704701273261509,0.11273669604962455,0.25077538361083906,0.13665115899444988,0.17660381978452497
AR,2956316,49.05013537118495,50.94986462881506,6.870418926799435,73.61555101010853,15.422332186410383,0.556165376096466,1.353299309004856,0.22751069236170965,0.24611769513690232,0.08735185941969759,0.11466421468464787,0.247207464923035,0.1303637106661218,0.17426099986377877
AZ,6531748,49.67466595465716,50.32533404534284,30.699252696215467,56.0101909626642,3.991910557480173,4.041239052700748,2.9657253770353664,0.17232359546020454,0.23564504101416853,0.08803624442474639,0.12314099587747808,0.24452323667215398,0.12233900355972029,0.18632954849239514
CA,38221472,49.537597610055414,50.462402389944586,38.43993893537119,38.71796145370853,5.565443350795072,0.3672761582808742,13.542286136965107,0.3618597970271789,0.23640669946220869,0.08744840955517572,0.13384333180472757,0.2657976195439196,0.12339496393880019,0.15310637011714678
CO,5244194,50.040234972237876,49.95976502776213,21.11239452621318,69.09568173869998,3.796785607092339,0.5287653164623582,2.8468192442918774,0.12831846037732395,0.22702235090568837,0.08555488859856643,0.1410614031990396,0.27013523533773526,0.12312418346809788,0.15308428374704283
CT,3555917,48.65872853612725,51.34127146387275,14.74166722676598,69.07217499733542,9.680637287090786,0.13502840476872774,4.171287462558884,0.020862213600598666,0.21642153362844496,0.08319291732114809,0.11429387405397687,0.2586891332286163,0.1469941453662716,0.1804083964015422
DC,634444,47.18856195345846,52.81143804654154,10.226116568207754,35.290477488950955,48.38811715454792,0.19632638972076338,3.49023444149523,0.034807642597297794,0.19829491632459742,0.07925481528260184,0.21029365329965266,0.27770760972529207,0.10262077676034102,0.13198610672560784
DE,924235,48.38563785184504,51.61436214815496,8.72146661833841,63.83562632880166,21.101143432135764,0.275075927659091,3.6005883784968105,0.016040400980270167,0.21784211066625603,0.07791807822605482,0.11302740991684632,0.24340416794990247,0.14700749409711528,0.20080073914382507
FL,19509409,48.86193118407636,51.138068815923646,23.80141738276131,55.924214915992586,15.500716977126269,0.20569521096205426,2.5530839247872654,0.048943522584410426,0.207949419611635,0.07713790853661398,0.11203631123648772,0.2513342126385258,0.13858444380817378,0.21295770416856374
GA,9988480,48.7724358460947,51.227564153905305,9.150626051210995,54.59124006855898,30.497693733180622,0.18224835009931442,3.5793513327353113,0.04060853102774396,0.25035549659773054,0.08643577679585429,0.1219758930360841,0.26621684815284924,0.12625139574167565,0.1487550461429812
HI,1404139,50.447854521525294,49.552145478474706,9.899430683144617,22.860995884310597,1.8910621384350126,0.15094132418514125,36.80688058660859,9.067540606734802,0.22555124166727714,0.07069079188337851,0.11537616291846751,0.25184968134202623,0.13237125485312431,0.20416086733572633
IA,3087394,49.594836292355296,50.4051637076447,5.436298023511092,87.3911787416831,3.093490205655644,0.2672618072069843,2.0205540012061953,0.058099128261569474,0.24405146773567826,0.08874304926936506,0.11159963791542739,0.24447174447174447,0.1338743049269365,0.17725979568084832
ID,1616524,50.13553773405158,49.86446226594842,11.832725032229648,83.05747065926641,0.5774693106938097,1.0666396539735878,1.27445661184121,0.10771463955994466,0.26123324396782843,0.08557640750670241,0.11694369973190348,0.24836461126005363,0.12123324396782842,0.16670241286863272
IL,12850493,49.047845868637104,50.9521541313629,16.504635168471747,62.4927568926733,14.114927598497584,0.11048199473747818,4.954646977357211,0.020076941795151362,0.23491365370933315,0.08476974322488844,0.12145074704094172,0.2615209236142552,0.13180745100575642,0.16554556626350173
IN,6547728,49.21409380475182,50.78590619524819,6.417309637785809,80.5469744772538,9.048959868216883,0.17965359892775018,1.8065290891741381,0.027136252452759184,0.24613333737294169,0.08896732461787829,0.11894626815930195,0.2511172041870541,0.13056519170466424,0.16427067395815975
KS,2892983,49.770703802960476,50.22929619703953,11.174035346906635,77.04322597125528,5.669696330742351,0.6989506333082496,2.596578099491079,0.056323490321235896,0.2544054025535507,0.09109774541873307,0.11343252083992825,0.24540114663571452,0.12964721606696916,0.16601596848510428
KY,4386973,49.170646821851875,50.82935317814812,3.252586213774281,85.59098790897505,7.769153195153012,0.165787115626196,1.2481429906224633,0.04604967935749776,0.2374069407857061,0.0867025541175123,0.11604627190470737,0.2516779292177299,0.13638758446913296,0.1718245332722483
LA,4623227,48.87529857391817,51.12470142608182,4.71627904059221,59.497542192931476,31.856859267347247,0.5274681948344739,1.6699187602079673,0.03782959391784137,0.24827016651042363,0.08887996071603946,0.11664657827775546,0.24864961385652426,0.1301057988482657,0.16747020222311504
MA,6680803,48.44996926267696,51.55003073732304,10.564068974942082,74.31247251266053,6.474599595288171,0.11850000666087594,5.927616395813498,0.018952931256916272,0.20951646624456932,0.08198277012499815,0.1301285568126214,0.26119126347474086,0.1416793938405421,0.175516377277917
MD,5890432,48.28786751124535,51.71213248875465,9.027103716671375,53.048046340234464,28.975941119428935,0.19477676679740977,6.014103804271062,0.040098570019991744,0.23419168571953072,0.07815290132007142,0.11975768094657967,0.2654161312394653,0.1384990237145575,0.1639992656998381
ME,1329100,48.91136859529004,51.08863140470995,1.4638812730419082,93.88073538484689,1.087094123843202,0.5668497479497404,1.0864977804529383,0.012309457527650289,0.19029097165083403,0.06776871867753759,0.11324706410352307,0.2526740967910838,0.15835140997830802,0.21759293888847334
MI,9855909,49.031905631433894,50.968094368566106,4.7139685745880975,75.99833502927027,13.73897219424408,0.47410276413875163,2.672401388852109,0.018168978629977205,0.22553801133938914,0.08823589180840903,0.11837265540856347,0.24493486963766792,0.141153041110366,0.18177569143855798
MN,5415423,49.664319850914694,50.335680149085306,4.9994731528820555,81.72033004624015,5.410366854075849,0.9509550223500547,4.4194555439159595,0.030428001653795098,0.24087303718823297,0.08195018889545398,0.1189772788311758,0.25664715045388625,0.13374872428425633,0.16780362034699467
MO,6041445,49.03618256890528,50.96381743109472,3.8548928774490205,80.22622903957578,11.438125994691667,0.37071407585436933,1.7425597518474472,0.09651065266670475,0.23856367432150313,0.08332359081419624,0.11751148225469729,0.2483507306889353,0.13648434237995824,0.1757661795407098
MS,2983152,48.550928682145596,51.4490713178544,2.896317116928671,57.40209332276733,37.210119799460436,0.3986134799701792,0.9637903130648388,0.012610889421658701,0.251666315863327,0.08973549428190557,0.10650389391707009,0.25159615519539746,0.1299375570055427,0.1705255034027924
MT,1014088,50.250569970258994,49.749430029741006,3.3090456646760438,86.98571731447369,0.44742685052973713,6.252679649103431,0.6800478853906169,0.08010685463194515,0.22220152728627304,0.08884336002980071,0.1148258521139877,0.23766064444030546,0.13801452784503632,0.19845408828459676
NC,9825251,48.64515929414933,51.35484070585067,8.82515326071568,64.24938948633475,21.17818556492857,1.0992458513273604,2.4514491690848406,0.052615358121639845,0.23384940803196333,0.08321826924018527,0.11686594788331033,0.2606519972188764,0.1325146645514459,0.17289971307421878
ND,721640,50.989828723463226,49.01017127653678,2.8510997173105697,87.04642259298267,1.6024271104705947,5.199821656227481,1.224362978770578,0.038421789257801674,0.25337108953613807,0.0983009708737864,0.12648327939590076,0.23853829557713052,0.12365156418554477,0.15965480043149946
