,year,race,age,gender,city,state,outcome,age_range
0,2010,H,78,male,Albuquerque,NM,Closed without arrest,65+
1,2010,H,17,male,Albuquerque,NM,Closed by arrest,0-18
2,2010,W,15,female,Albuquerque,NM,Closed without arrest,0-18
3,2010,H,32,male,Albuquerque,NM,Closed by arrest,26-34
4,2010,W,72,female,Albuquerque,NM,Closed without arrest,65+
5,2010,W,91,female,Albuquerque,NM,Open/No arrest,65+
6,2010,H,52,male,Albuquerque,NM,Closed by arrest,35-54
7,2010,H,52,female,Albuquerque,NM,Closed by arrest,35-54
8,2010,W,56,male,Albuquerque,NM,Open/No arrest,55-64
9,2010,H,43,male,Albuquerque,NM,Open/No arrest,35-54
10,2010,H,20,male,Albuquerque,NM,Closed by arrest,19-25
11,2010,W,Unknown,male,Albuquerque,NM,Closed without arrest,Unknown
12,2010,H,46,male,Albuquerque,NM,Open/No arrest,35-54
13,2010,O,16,male,Albuquerque,NM,Closed by arrest,0-18
14,2010,H,54,male,Albuquerque,NM,Closed by arrest,35-54
15,2010,W,43,female,Albuquerque,NM,Closed by arrest,35-54
16,2010,H,52,male,Albuquerque,NM,Closed by arrest,35-54
17,2010,W,52,male,Albuquerque,NM,Closed by arrest,35-54
18,2010,W,22,female,Albuquerque,NM,Closed by arrest,19-25
19,2010,H,49,male,Albuquerque,NM,Closed by arrest,35-54
20,2010,B,15,male,Albuquerque,NM,Closed by arrest,0-18
21,2010,B,25,male,Albuquerque,NM,Closed by arrest,19-25
22,2010,W,20,male,Albuquerque,NM,Closed by arrest,19-25
23,2010,O,47,male,Albuquerque,NM,Closed by arrest,35-54
24,2010,W,88,female,Albuquerque,NM,Closed without arrest,65+
25,2010,H,27,female,Albuquerque,NM,Closed by arrest,26-34
26,2010,W,36,female,Albuquerque,NM,Closed without arrest,35-54
27,2010,W,47,female,Albuquerque,NM,Closed without arrest,35-54
28,2010,A,1,female,Albuquerque,NM,Closed without arrest,0-18
29,2010,H,58,male,Albuquerque,NM,Open/No arrest,55-64
30,2010,H,42,male,Albuquerque,NM,Closed without arrest,35-54
31,2010,H,50,male,Albuquerque,NM,Closed by arrest,35-54
32,2010,O,3,female,Albuquerque,NM,Closed by arrest,0-18
33,2010,H,1,male,Albuquerque,NM,Closed by arrest,0-18
34,2010,H,21,female,Albuquerque,NM,Closed by arrest,19-25
35,2010,H,19,female,Albuquerque,NM,Closed by arrest,19-25
36,2011,H,46,male,Albuquerque,NM,Closed by arrest,35-54
37,2010,O,95,female,Albuquerque,NM,Closed without arrest,65+
38,2010,W,24,male,Albuquerque,NM,Closed by arrest,19-25
39,2010,W,41,male,Albuquerque,NM,Closed by arrest,35-54
40,2010,W,50,male,Albuquerque,NM,Closed by arrest,35-54
41,2010,W,51,male,Albuquerque,NM,Closed by arrest,35-54
42,2010,B,18,male,Albuquerque,NM,Closed by arrest,0-18
43,2010,O,36,male,Albuquerque,NM,Closed by arrest,35-54
