id,armed_with,city,county,state,age,gender,race,body_camera,age_range,year
3,gun,Shelton,Mason,WA,53.0,male,A,False,35-54,2015
4,gun,Aloha,Washington,OR,47.0,male,W,False,35-54,2015
5,unarmed,Wichita,Sedgwick,KS,23.0,male,H,False,19-25,2015
8,replica,San Francisco,San Francisco,CA,32.0,male,W,False,26-34,2015
9,other,Evans,Weld,CO,39.0,male,H,False,35-54,2015
11,gun,Guthrie,Logan,OK,18.0,male,W,False,0-18,2015
13,gun,Chandler,Maricopa,AZ,22.0,male,H,False,19-25,2015
15,gun,Assaria,Saline,KS,35.0,male,W,False,35-54,2015
16,unarmed,Burlington,Des Moines,IA,34.0,female,W,True,26-34,2015
17,replica,Knoxville,Allegheny,PA,47.0,male,B,False,35-54,2015
19,knife,Stockton,San Joaquin,CA,25.0,male,W,False,19-25,2015
21,gun,Freeport,Brazoria,TX,31.0,male,B,False,26-34,2015
22,knife,Columbus,Franklin,OH,41.0,male,B,False,35-54,2015
25,gun,Des Moines,Polk,IA,30.0,male,W,False,26-34,2015
27,gun,New Orleans,Orleans,LA,37.0,male,B,True,35-54,2015
29,,Huntley,Yellowstone,MT,28.0,male,W,False,26-34,2015
32,blunt_object,Salt Lake City,Salt Lake,UT,42.0,male,W,True,35-54,2015
36,unarmed,Strong,Union,AR,36.0,male,B,False,35-54,2015
37,gun,Syracuse,Davis,UT,49.0,male,W,True,35-54,2015
38,gun,England,Lonoke,AR,71.0,male,W,False,65+,2015
325,gun,El Paso,El Paso,TX,33.0,male,H,False,26-34,2015
42,gun,Arcola,Douglas,IL,39.0,male,W,False,35-54,2015
43,gun,South Gate,Los Angeles,CA,23.0,male,H,False,19-25,2015
45,gun,North Las Vegas,Clark,NV,29.0,male,H,False,26-34,2015
46,gun,Albuquerque,Bernalillo,NM,34.0,male,W,True,26-34,2015
48,knife,Jourdanton,Atascosa,TX,43.0,male,W,False,35-54,2015
49,,St. Paul,Ramsey,MN,24.0,male,B,False,19-25,2015
50,,Franklin County,Franklin,MO,29.0,male,W,False,26-34,2015
51,gun,Chesapeake,Chesapeake City,VA,34.0,male,B,False,26-34,2015
52,knife,Old Bridge,Middlesex,NJ,75.0,male,W,False,65+,2015
54,gun,Lake Jackson,Brazoria,TX,68.0,male,W,False,65+,2015
55,knife,Draper,Salt Lake,UT,34.0,male,W,True,26-34,2015
56,gun,Indianapolis,Marion,IN,27.0,male,B,False,26-34,2015
57,gun,Aurora,Arapahoe,CO,39.0,male,B,False,35-54,2015
